Item,Kind,Question,A,B,C,D
P01,CLAIM,"According to the definition of ""condolence (the words)"", is the following true of condolence (the words)? ""a present, made freely and with nothing asked in return"" Answer yes or no.",,,,
P02,CLAIM,"According to the definition of ""cat"", is the following true of cat? ""a young person below the age of puberty, or the son or daughter of any parent"" Answer yes or no.",,,,
P03,CLAIM,"According to the definition of ""run"", is the following true of run? ""an image of some person, scene, or object, set down on a flat surface"" Answer yes or no.",,,,
P04,CLAIM,"According to the definition of ""reminder (the made something)"", is the following true of reminder (the made something)? ""a note or token that brings back to mind what would otherwise be forgotten"" Answer yes or no.",,,,
P05,CHOICE,"A word whose definition is: ""the overarching expanse above the earth in which the sun, the moon, and the stars appear; the overarching expanse above the earth in which the sun, the moon, and the stars appear; the overarching expanse above the earth in which the sun, the moon, and the stars appear"". Which word is it?",afraid,reminder (the made something),lie (the words),sky
P06,CLAIM,"According to the definition of ""sad"", is the following true of sad? ""low in spirits, weighed down by sorrow or unhappiness"" Answer yes or no.",,,,
P07,CHOICE,"Which option gives the meaning of the word ""forget (X forgets Y)""?",filled with fear or apprehension; filled with fear or apprehension; filled with fear or apprehension; filled with fear or apprehension; filled with fear or apprehension,to let something once known slip wholly from the mind; to let something once known slip wholly from the mind,"a woody plant of considerable height, its branches springing from one main trunk; a woody plant of considerable height, its branches springing from one main trunk; a woody plant of considerable height, its branches springing from one main trunk","to shut, drawing a door, lid, or cover across an opening; to shut, drawing a door, lid, or cover across an opening; to shut, drawing a door, lid, or cover across an opening"
P08,CHOICE,"A word whose definition is: ""the low green herbage of fields and lawns, a plant of jointed stem and narrow blade; the low green herbage of fields and lawns, a plant of jointed stem and narrow blade"". Which word is it?",mother,grass,night,woman
P09,CLAIM,"According to the definition of ""friend (X is a friend of Y)"", is the following true of friend (X is a friend of Y)? ""(of a bookmark) set aside in storage rather than deleted, and recoverable at need"" Answer yes or no.",,,,
P10,CLAIM,"According to the definition of ""food"", is the following true of food? ""nourishment of any sort, whatever is eaten or drunk to sustain life and growth"" Answer yes or no.",,,,
P11,CHOICE,"Which option gives the meaning of the word ""rock""?","an embrace, the arms being clasped about another person in affection; an embrace, the arms being clasped about another person in affection; an embrace, the arms being clasped about another person in affection; an embrace, the arms being clasped about another person in affection","to acquire knowledge of a subject or skill in an art, whether by study, instruction, or practice",a note or token that brings back to mind what would otherwise be forgotten; a note or token that brings back to mind what would otherwise be forgotten; a note or token that brings back to mind what would otherwise be forgotten,"the hard mineral matter of the earth, or a great detached mass of such stone; the hard mineral matter of the earth, or a great detached mass of such stone; the hard mineral matter of the earth, or a great detached mass of such stone"
P12,CHOICE,"A word whose definition is: ""the blossom of a plant, bearing the organs of its reproduction; the blossom of a plant, bearing the organs of its reproduction; the blossom of a plant, bearing the organs of its reproduction; the blossom of a plant, bearing the organs of its reproduction"". Which word is it?",open,sleep,color,flower
P13,CHOICE,"Which option gives the meaning of the word ""animal""?","leaves of writing or print, bound together within covers as a single work; leaves of writing or print, bound together within covers as a single work; leaves of writing or print, bound together within covers as a single work","to rest upon the buttocks, the trunk held upright; to rest upon the buttocks, the trunk held upright; to rest upon the buttocks, the trunk held upright; to rest upon the buttocks, the trunk held upright","any living creature, other than a plant, that feeds on organic matter and moves under its own power; any living creature, other than a plant, that feeds on organic matter and moves under its own power; any living creature, other than a plant, that feeds on organic matter and moves under its own power","gone astray or missing, its whereabouts unknown; gone astray or missing, its whereabouts unknown; gone astray or missing, its whereabouts unknown"
P14,CLAIM,"According to the definition of ""memory (a stored something)"", is the following true of memory (a stored something)? ""one whose calling is to instruct others, most often in a school"" Answer yes or no.",,,,
P15,CHOICE,"A word whose definition is: ""a stiff-sided container, commonly lidded, used for holding or carrying goods; a stiff-sided container, commonly lidded, used for holding or carrying goods; a stiff-sided container, commonly lidded, used for holding or carrying goods"". Which word is it?",break (X breaks Y),father,memory (a stored something),box
P16,CLAIM,"According to the definition of ""jump"", is the following true of jump? ""an embrace, the arms being clasped about another person in affection"" Answer yes or no.",,,,
P17,CHOICE,"Which option gives the meaning of the word ""night""?",the hours of darkness between sunset and the next sunrise; the hours of darkness between sunset and the next sunrise; the hours of darkness between sunset and the next sunrise,"the part of the arm beyond the wrist, fitted with fingers and thumb for grasping; the part of the arm beyond the wrist, fitted with fingers and thumb for grasping; the part of the arm beyond the wrist, fitted with fingers and thumb for grasping","one whose calling is to instruct others, most often in a school; one whose calling is to instruct others, most often in a school; one whose calling is to instruct others, most often in a school","of low temperature, notably lacking in warmth or heat; of low temperature, notably lacking in warmth or heat; of low temperature, notably lacking in warmth or heat; of low temperature, notably lacking in warmth or heat; of low temperature, notably lacking in warmth or heat"
P18,CHOICE,"A word whose definition is: ""any living creature, other than a plant, that feeds on organic matter and moves under its own power; any living creature, other than a plant, that feeds on organic matter and moves under its own power; any living creature, other than a plant, that feeds on organic matter and moves under its own power"". Which word is it?",near (X is near Y),animal,angry,conversation
P19,CHOICE,"A word whose definition is: ""the opening in the lower face that serves for eating and for speech; the opening in the lower face that serves for eating and for speech"". Which word is it?",money,mouth,helpful (of a someone),happy
P20,CHOICE,"Which option gives the meaning of the word ""change (the event)""?",a massive shaggy-coated mammal with a short tail and powerful limbs; a massive shaggy-coated mammal with a short tail and powerful limbs; a massive shaggy-coated mammal with a short tail and powerful limbs,"the class to which a thing belongs by its very nature, so that it remains of that class for as long as it exists; the class to which a thing belongs by its very nature, so that it remains of that class for as long as it exists",to let something once known slip wholly from the mind; to let something once known slip wholly from the mind,"a passage from one state, form, or condition to another; a passage from one state, form, or condition to another; a passage from one state, form, or condition to another"
P21,CHOICE,"Which option gives the meaning of the word ""food""?","a small furred domestic carnivore, whiskered and soft-footed, with claws it can draw in; a small furred domestic carnivore, whiskered and soft-footed, with claws it can draw in; a small furred domestic carnivore, whiskered and soft-footed, with claws it can draw in","obliging, and quick to give assistance when it is wanted; obliging, and quick to give assistance when it is wanted","in games and sports, the round object that players strike, kick, or throw; in games and sports, the round object that players strike, kick, or throw; in games and sports, the round object that players strike, kick, or throw; in games and sports, the round object that players strike, kick, or throw","nourishment of any sort, whatever is eaten or drunk to sustain life and growth; nourishment of any sort, whatever is eaten or drunk to sustain life and growth; nourishment of any sort, whatever is eaten or drunk to sustain life and growth"
P22,CLAIM,"According to the definition of ""money"", is the following true of money? ""currency of any form, the coin and notes that serve as a medium of exchange"" Answer yes or no.",,,,
P23,CHOICE,"Which option gives the meaning of the word ""gift""?",to let something once known slip wholly from the mind; to let something once known slip wholly from the mind,"the firm surface of the earth, together with the soil that forms it; the firm surface of the earth, together with the soil that forms it","a present, made freely and with nothing asked in return; a present, made freely and with nothing asked in return; a present, made freely and with nothing asked in return","to move on foot at speed, both feet leaving the ground in each stride; to move on foot at speed, both feet leaving the ground in each stride"
P24,CHOICE,"Which option gives the meaning of the word ""afraid""?","morally proper and just, as an action one ought to perform; morally proper and just, as an action one ought to perform","the body's uppermost division, housing the brain and the chief organs of sense; the body's uppermost division, housing the brain and the chief organs of sense; the body's uppermost division, housing the brain and the chief organs of sense","the class to which a thing belongs by its very nature, so that it remains of that class for as long as it exists; the class to which a thing belongs by its very nature, so that it remains of that class for as long as it exists",filled with fear or apprehension; filled with fear or apprehension; filled with fear or apprehension; filled with fear or apprehension; filled with fear or apprehension
P25,CLAIM,"According to the definition of ""fish"", is the following true of fish? ""a cold-blooded animal of the water, gilled for breathing and finned for swimming"" Answer yes or no.",,,,
P26,CHOICE,"A word whose definition is: ""a building in which people dwell, most commonly the home of a single family; a building in which people dwell, most commonly the home of a single family; a building in which people dwell, most commonly the home of a single family"". Which word is it?",man,reminder (the made something),house,grass
P27,CLAIM,"According to the definition of ""light"", is the following true of light? ""to shut, drawing a door, lid, or cover across an opening"" Answer yes or no.",,,,
P28,CHOICE,"A word whose definition is: ""an occurrence or incident, above all one of some note; an occurrence or incident, above all one of some note"". Which word is it?",bookmark,reminder (the made something),event,red
P29,CHOICE,"Which option gives the meaning of the word ""useful (of a something)""?",that recurring state of bodily rest in which the eyes shut and consciousness is suspended; that recurring state of bodily rest in which the eyes shut and consciousness is suspended; that recurring state of bodily rest in which the eyes shut and consciousness is suspended,"to fracture or force apart, as by a blow, or put a device out of working order; to fracture or force apart, as by a blow, or put a device out of working order","deserving of confidence, being honest and reliable in word and deed; deserving of confidence, being honest and reliable in word and deed; deserving of confidence, being honest and reliable in word and deed",serviceable for some practical end or purpose; serviceable for some practical end or purpose; serviceable for some practical end or purpose
P30,CHOICE,"A word whose definition is: ""to hold something to be true, often on trust rather than proof; to hold something to be true, often on trust rather than proof"". Which word is it?",picture,believe (X believes Y),near (X is near Y),clothes
P31,CHOICE,"A word whose definition is: ""to weep, shedding tears under grief, pain, or other strong emotion; to weep, shedding tears under grief, pain, or other strong emotion; to weep, shedding tears under grief, pain, or other strong emotion"". Which word is it?",smile,tree,cry,house
P32,CLAIM,"According to the definition of ""car"", is the following true of car? ""a road vehicle, driven by a motor, that seats a driver and a few passengers"" Answer yes or no.",,,,
P33,CLAIM,"According to the definition of ""color"", is the following true of color? ""the quality, distinct from shape or size, by which the eye tells one hue from another"" Answer yes or no.",,,,
P34,CHOICE,"Which option gives the meaning of the word ""sleep""?","the interval of daylight between one sunrise and the following sunset, or a full round of twenty-four hours; the interval of daylight between one sunrise and the following sunset, or a full round of twenty-four hours; the interval of daylight between one sunrise and the following sunset, or a full round of twenty-four hours","to retain past knowledge in the mind, or call it back when wanted; to retain past knowledge in the mind, or call it back when wanted","to go along on foot at an easy pace, one foot always set on the ground; to go along on foot at an easy pace, one foot always set on the ground; to go along on foot at an easy pace, one foot always set on the ground",that recurring state of bodily rest in which the eyes shut and consciousness is suspended; that recurring state of bodily rest in which the eyes shut and consciousness is suspended; that recurring state of bodily rest in which the eyes shut and consciousness is suspended
P35,CLAIM,"According to the definition of ""day"", is the following true of day? ""the interval of daylight between one sunrise and the following sunset, or a full round of twenty-four hours"" Answer yes or no.",,,,
P36,CLAIM,"According to the definition of ""head"", is the following true of head? ""to occasion or bring about, as one happening gives rise to the next"" Answer yes or no.",,,,
P37,CHOICE,"Which option gives the meaning of the word ""red""?",to include something as a constituent or member of the whole,"the flaming state of what burns, attended by heat and light; the flaming state of what burns, attended by heat and light; the flaming state of what burns, attended by heat and light; the flaming state of what burns, attended by heat and light",of the color of fresh blood or of a ripe cherry; of the color of fresh blood or of a ripe cherry; of the color of fresh blood or of a ripe cherry,"to mend, restoring what is damaged or worn to sound condition; to mend, restoring what is damaged or worn to sound condition; to mend, restoring what is damaged or worn to sound condition"
